id,age,job,marital,education,default_status,balance,housing_loan,personal_loan,branch_id
CUST_000001,58,management,married,tertiary,0,2143,1,0,BR-102
CUST_000002,44,technician,single,secondary,0,29,1,0,BR-104
CUST_000003,33,entrepreneur,married,secondary,0,2,1,1,BR-101
CUST_000004,47,blue-collar,married,,0,1506,1,0,BR-104
CUST_000005,33,,single,,0,1,0,0,BR-101
CUST_000006,35,management,married,tertiary,0,231,1,0,BR-101
CUST_000007,28,management,single,tertiary,0,447,1,1,BR-101
CUST_000008,42,entrepreneur,divorced,tertiary,1,2,1,0,BR-102
CUST_000009,58,retired,married,primary,0,121,1,0,BR-101
CUST_000010,43,technician,single,secondary,0,593,1,0,BR-104
CUST_000011,41,admin.,divorced,secondary,0,270,1,0,BR-103
CUST_000012,29,admin.,single,secondary,0,390,1,0,BR-101
CUST_000013,53,technician,married,secondary,0,6,1,0,BR-103
CUST_000014,58,technician,married,,0,71,1,0,BR-104
CUST_000015,57,services,married,secondary,0,162,1,0,BR-101
CUST_000016,51,retired,married,primary,0,229,1,0,BR-104
CUST_000017,45,admin.,single,,0,13,1,0,BR-101
CUST_000018,57,blue-collar,married,primary,0,52,1,0,BR-103
CUST_000019,60,retired,married,primary,0,60,1,0,BR-102
CUST_000020,33,services,married,secondary,0,0,1,0,BR-101
CUST_000021,28,blue-collar,married,secondary,0,723,1,1,BR-103
CUST_000022,56,management,married,tertiary,0,779,1,0,BR-102
CUST_000023,32,blue-collar,single,primary,0,23,1,1,BR-104
CUST_000024,25,services,married,secondary,0,50,1,0,BR-101
CUST_000025,40,retired,married,primary,0,0,1,1,BR-103
CUST_000026,44,admin.,married,secondary,0,-372,1,0,BR-104
CUST_000027,39,management,single,tertiary,0,255,1,0,BR-103
CUST_000028,52,entrepreneur,married,secondary,0,113,1,1,BR-102
CUST_000029,46,management,single,secondary,0,-246,1,0,BR-104
CUST_000030,36,technician,single,secondary,0,265,1,1,BR-103
CUST_000031,57,technician,married,secondary,0,839,0,1,BR-101
CUST_000032,49,management,married,tertiary,0,378,1,0,BR-104
CUST_000033,60,admin.,married,secondary,0,39,1,1,BR-103
CUST_000034,59,blue-collar,married,secondary,0,0,1,0,BR-103
CUST_000035,51,management,married,tertiary,0,10635,1,0,BR-103
CUST_000036,57,technician,divorced,secondary,0,63,1,0,BR-102
CUST_000037,25,blue-collar,married,secondary,0,-7,1,0,BR-104
CUST_000038,53,technician,married,secondary,0,-3,0,0,BR-101
CUST_000039,36,admin.,divorced,secondary,0,506,1,0,BR-104
CUST_000040,37,admin.,single,secondary,0,0,1,0,BR-101
CUST_000041,44,services,divorced,secondary,0,2586,1,0,BR-102
CUST_000042,50,management,married,secondary,0,49,1,0,BR-103
CUST_000043,60,blue-collar,married,,0,104,1,0,BR-103
CUST_000044,54,retired,married,secondary,0,529,1,0,BR-104
CUST_000045,58,retired,married,,0,96,1,0,BR-102
CUST_000046,36,admin.,single,primary,0,-171,1,0,BR-103
CUST_000047,58,self-employed,married,tertiary,0,-364,1,0,BR-101
CUST_000048,44,technician,married,secondary,0,0,1,0,BR-104
CUST_000049,55,technician,divorced,secondary,0,0,0,0,BR-103
CUST_000050,29,management,single,tertiary,0,0,1,0,BR-104
CUST_000051,54,blue-collar,married,secondary,0,1291,1,0,BR-102
CUST_000052,48,management,divorced,tertiary,0,-244,1,0,BR-104
CUST_000053,32,management,married,tertiary,0,0,1,0,BR-104
CUST_000054,42,admin.,single,secondary,0,-76,1,0,BR-101
CUST_000055,24,technician,single,secondary,0,-103,1,1,BR-103
CUST_000056,38,entrepreneur,single,tertiary,0,243,0,1,BR-103
CUST_000057,38,management,single,tertiary,0,424,1,0,BR-101
CUST_000058,47,blue-collar,married,,0,306,1,0,BR-104
CUST_000059,40,blue-collar,single,,0,24,1,0,BR-103
CUST_000060,46,services,married,primary,0,179,1,0,BR-101
CUST_000061,32,admin.,married,tertiary,0,0,1,0,BR-104
CUST_000062,53,technician,divorced,secondary,0,989,1,0,BR-103
CUST_000063,57,blue-collar,married,primary,0,249,1,0,BR-103
CUST_000064,33,services,married,secondary,0,790,1,0,BR-103
CUST_000065,49,blue-collar,married,,0,154,1,0,BR-102
CUST_000066,51,management,married,tertiary,0,6530,1,0,BR-101
CUST_000067,60,retired,married,tertiary,0,100,0,0,BR-101
CUST_000068,59,management,divorced,tertiary,0,59,1,0,BR-104
CUST_000069,55,technician,married,secondary,0,1205,1,0,BR-103
CUST_000070,35,blue-collar,single,secondary,0,12223,1,1,BR-101
CUST_000071,57,blue-collar,married,secondary,0,5935,1,1,BR-102
CUST_000072,31,services,married,secondary,0,25,1,1,BR-101
CUST_000073,54,management,married,secondary,0,282,1,1,BR-103
CUST_000074,55,blue-collar,married,primary,0,23,1,0,BR-104
CUST_000075,43,technician,married,secondary,0,1937,1,0,BR-104
CUST_000076,53,technician,married,secondary,0,384,1,0,BR-104
CUST_000077,44,blue-collar,married,secondary,0,582,0,1,BR-103
CUST_000078,55,services,divorced,secondary,0,91,0,0,BR-101
CUST_000079,49,services,divorced,secondary,0,0,1,1,BR-101
CUST_000080,55,services,divorced,secondary,1,1,1,0,BR-103
CUST_000081,45,admin.,single,secondary,0,206,1,0,BR-104
CUST_000082,47,services,divorced,secondary,0,164,0,0,BR-102
CUST_000083,42,technician,single,secondary,0,690,1,0,BR-101
CUST_000084,59,admin.,married,secondary,0,2343,1,0,BR-102
CUST_000085,46,self-employed,married,tertiary,0,137,1,1,BR-104
CUST_000086,51,blue-collar,married,primary,0,173,1,0,BR-101
CUST_000087,56,admin.,married,secondary,0,45,0,0,BR-103
CUST_000088,41,technician,married,secondary,0,1270,1,0,BR-101
CUST_000089,46,management,divorced,secondary,0,16,1,1,BR-104
CUST_000090,57,retired,married,secondary,0,486,1,0,BR-104
CUST_000091,42,management,single,secondary,0,50,0,0,BR-101
CUST_000092,30,technician,married,secondary,0,152,1,1,BR-104
CUST_000093,60,admin.,married,secondary,0,290,1,0,BR-104
CUST_000094,60,blue-collar,married,,0,54,1,0,BR-103
CUST_000095,57,entrepreneur,divorced,secondary,0,-37,0,0,BR-101
CUST_000096,36,management,married,tertiary,0,101,1,1,BR-104
CUST_000097,55,blue-collar,married,secondary,0,383,0,0,BR-101
CUST_000098,60,retired,married,tertiary,0,81,1,0,BR-103
CUST_000099,39,technician,married,secondary,0,0,1,0,BR-103
CUST_000100,46,management,married,tertiary,0,229,1,0,BR-103
CUST_000101,44,blue-collar,married,secondary,0,-674,1,0,BR-102
CUST_000102,53,blue-collar,married,primary,0,90,0,0,BR-104
CUST_000103,52,blue-collar,married,primary,0,128,1,0,BR-101
CUST_000104,59,blue-collar,married,primary,0,179,1,0,BR-104
CUST_000105,27,technician,single,tertiary,0,0,1,0,BR-104
CUST_000106,44,blue-collar,married,secondary,0,54,1,0,BR-102
CUST_000107,47,technician,married,tertiary,0,151,1,0,BR-102
CUST_000108,34,admin.,married,secondary,0,61,0,1,BR-104
CUST_000109,59,retired,single,secondary,0,30,1,0,BR-103
CUST_000110,45,management,married,tertiary,0,523,1,0,BR-104
CUST_000111,29,services,divorced,secondary,0,31,1,0,BR-103
CUST_000112,46,technician,divorced,secondary,0,79,0,0,BR-102
CUST_000113,56,self-employed,married,primary,0,-34,1,1,BR-104
CUST_000114,36,blue-collar,married,primary,0,448,1,0,BR-101
CUST_000115,59,retired,divorced,primary,0,81,1,0,BR-102
CUST_000116,44,blue-collar,married,secondary,0,144,1,0,BR-101
CUST_000117,41,admin.,married,secondary,0,351,1,0,BR-101
CUST_000118,33,management,single,tertiary,0,-67,1,0,BR-102
CUST_000119,59,management,divorced,tertiary,0,262,0,0,BR-104
CUST_000120,57,technician,married,primary,0,0,0,0,BR-104
CUST_000121,56,technician,divorced,,0,56,1,0,BR-104
CUST_000122,51,blue-collar,married,secondary,0,26,1,0,BR-104
CUST_000123,34,admin.,married,,0,3,1,0,BR-102
CUST_000124,43,services,married,secondary,0,41,1,1,BR-103
CUST_000125,52,technician,married,tertiary,0,7,0,1,BR-102
CUST_000126,33,technician,single,secondary,0,105,1,0,BR-101
CUST_000127,29,admin.,single,secondary,0,818,1,1,BR-101
CUST_000128,34,services,married,secondary,0,-16,1,1,BR-102
CUST_000129,31,blue-collar,married,secondary,0,0,1,0,BR-104
CUST_000130,55,services,married,secondary,0,2476,1,0,BR-101
CUST_000131,55,management,married,,0,1185,0,0,BR-102
CUST_000132,32,admin.,single,secondary,0,217,1,0,BR-102
CUST_000133,38,technician,single,secondary,0,1685,1,0,BR-101
CUST_000134,55,admin.,single,secondary,0,802,1,1,BR-104
CUST_000135,28,unemployed,single,tertiary,0,0,1,0,BR-102
CUST_000136,23,blue-collar,married,secondary,0,94,1,0,BR-101
CUST_000137,32,technician,single,secondary,0,0,1,0,BR-102
CUST_000138,43,services,single,,0,0,0,0,BR-101
CUST_000139,32,blue-collar,married,secondary,0,517,1,0,BR-101
CUST_000140,46,blue-collar,married,secondary,0,265,1,0,BR-102
CUST_000141,53,housemaid,divorced,primary,0,947,1,0,BR-101
CUST_000142,34,self-employed,single,secondary,0,3,1,0,BR-101
CUST_000143,57,unemployed,married,tertiary,0,42,0,0,BR-104
CUST_000144,37,blue-collar,married,secondary,0,37,1,0,BR-103
CUST_000145,59,blue-collar,married,secondary,0,57,1,0,BR-103
CUST_000146,33,services,married,secondary,0,22,1,0,BR-102
CUST_000147,56,blue-collar,divorced,primary,0,8,1,0,BR-103
CUST_000148,48,unemployed,married,secondary,0,293,1,0,BR-103
CUST_000149,43,services,married,primary,0,3,1,0,BR-102
CUST_000150,54,blue-collar,married,primary,0,348,1,0,BR-102
CUST_000151,51,blue-collar,married,,0,-19,1,0,BR-101
CUST_000152,26,student,single,secondary,0,0,1,0,BR-103
CUST_000153,40,management,married,tertiary,0,-4,1,0,BR-101
CUST_000154,39,management,married,secondary,0,18,1,0,BR-104
CUST_000155,50,technician,married,primary,0,139,0,0,BR-101
CUST_000156,41,services,married,secondary,0,0,1,0,BR-102
CUST_000157,51,blue-collar,married,,0,1883,1,0,BR-103
CUST_000158,60,retired,divorced,secondary,0,216,1,0,BR-102
CUST_000159,52,blue-collar,married,secondary,0,782,1,0,BR-103
